"","Tree_1","Tree_2","Tree_3","Tree_4","Tree_5","Tree_6","Tree_7","Tree_8","Tree_9","Tree_10","Tree_11","Tree_12","Tree_13","Tree_14","Tree_15","Tree_16","Tree_17","Tree_18","Tree_19","Tree_20","Tree_21","Tree_22","Tree_23"
"325",0.3238,0.3088,0.3668,0.267933333333333,0.359333333333333,0.1908,0.2706,0.361133333333333,0.3182,0.233466666666667,0.2318,0.0716,0.362666666666667,0.377333333333333,0.275,0.306133333333333,0.3754,0.336333333333333,0.264066666666667,0.395266666666667,0.289333333333333,0.356066666666667,0.316266666666667
"326",0.319333333333333,0.2676,0.4362,0.275533333333333,0.385133333333333,0.2378,0.3148,0.411066666666667,0.284533333333333,0.304533333333333,0.224466666666667,0.222533333333333,0.2914,0.3152,0.330933333333333,0.353266666666667,0.341666666666667,0.424533333333333,0.278466666666667,0.374466666666667,0.312866666666667,0.300533333333333,0.2884
"327",0.318333333333333,0.2498,0.4436,0.2652,0.369466666666667,0.277933333333333,0.349866666666667,0.417466666666667,0.2708,0.325066666666667,0.2484,0.3234,0.293133333333333,0.3268,0.418733333333333,0.361266666666667,0.258533333333333,0.4192,0.287266666666667,0.375733333333333,0.316333333333333,0.275266666666667,0.296333333333333
"328",0.3682,0.2578,0.393066666666667,0.2652,0.310466666666667,0.293133333333333,0.340733333333333,0.3962,0.302733333333333,0.277466666666667,0.288533333333333,0.331666666666667,0.346333333333333,0.359133333333333,0.410866666666667,0.3076,0.2442,0.303333333333333,0.269866666666667,0.398333333333333,0.333066666666667,0.3114,0.347866666666667
"329",0.399733333333333,0.239133333333333,0.406266666666667,0.241133333333333,0.308533333333333,0.329066666666667,0.355866666666667,0.4146,0.361133333333333,0.2516,0.287,0.356,0.319333333333333,0.37,0.3286,0.271266666666667,0.2962,0.388066666666667,0.24,0.392533333333333,0.365266666666667,0.295733333333333,0.476733333333333
"330",0.415266666666667,0.261133333333333,0.419133333333333,0.244533333333333,0.342466666666667,0.337733333333333,0.379533333333333,0.415266666666667,0.3808,0.279133333333333,0.287333333333333,0.408533333333333,0.264,0.337866666666667,0.268466666666667,0.2688,0.355733333333333,0.442933333333333,0.2754,0.386866666666667,0.366266666666667,0.297866666666667,0.5262
"331",0.422,0.315133333333333,0.4028,0.259933333333333,0.354666666666667,0.313333333333333,0.3926,0.384,0.286733333333333,0.3032,0.2806,0.405733333333333,0.241666666666667,0.315666666666667,0.2738,0.295733333333333,0.3718,0.3994,0.3402,0.379733333333333,0.342466666666667,0.296733333333333,0.34
"332",0.3548,0.275133333333333,0.395733333333333,0.265333333333333,0.370533333333333,0.323733333333333,0.369066666666667,0.376333333333333,0.300133333333333,0.293933333333333,0.269866666666667,0.355933333333333,0.275933333333333,0.318333333333333,0.312666666666667,0.319333333333333,0.390933333333333,0.381933333333333,0.283333333333333,0.367466666666667,0.338,0.3038,0.290666666666667
"333",0.311466666666667,0.233466666666667,0.422066666666667,0.279533333333333,0.3844,0.376933333333333,0.333,0.3846,0.3324,0.2716,0.273533333333333,0.261666666666667,0.329666666666667,0.322466666666667,0.3492,0.3334,0.371866666666667,0.384133333333333,0.218266666666667,0.36,0.329066666666667,0.301933333333333,0.3478
"334",0.3418,0.2836,0.4406,0.2978,0.373333333333333,0.3992,0.298666666666667,0.383733333333333,0.305133333333333,0.302933333333333,0.277066666666667,0.255533333333333,0.337533333333333,0.303866666666667,0.341933333333333,0.3208,0.326466666666667,0.3774,0.268266666666667,0.404266666666667,0.3106,0.291666666666667,0.354666666666667
