WKT,fid,Land,Typ,Bezeichnung,Leistung (MWp),Jahr der Inbetriebnahme,Breitengrad_HP,Längengrad_HP,PLZ
"POINT (13.19135411 51.07932544)",271.0,DE,PVA,Roßwein 1+2,531.0,2014.0,51.07932544,13.19135411,04741
"POINT (13.19135411 51.07932544)",271.0,DE,PVA,Roßwein 1+2,531.0,2014.0,51.07932544,13.19135411,04741
"POINT (11.12341248 52.83872667)",272.0,DE,PVA,Salzwedel-Chüden,497.0,2016.0,52.83872667,11.12341248,29410
"POINT (11.12341248 52.83872667)",272.0,DE,PVA,Salzwedel-Chüden,497.0,2016.0,52.83872667,11.12341248,29410
"POINT (11.12341248 52.83872667)",272.0,DE,PVA,Salzwedel-Chüden,497.0,2016.0,52.83872667,11.12341248,29410
"POINT (11.12341248 52.83872667)",272.0,DE,PVA,Salzwedel-Chüden,497.0,2016.0,52.83872667,11.12341248,29410
"POINT (11.14293561 52.83286973)",273.0,DE,PVA,Salzwedel-Fuchsberg,1613.0,2016.0,52.83286973,11.14293561,29410
"POINT (12.06890235 52.63918524)",274.0,DE,PVA,Sandau,24.0,2014.0,52.63918524,12.06890235,39524
"POINT (7.298515193 50.01127321)",275.0,DE,PVA,Sankt Aldegund,1846.0,2023.0,50.01127321,7.298515193,56858
"POINT (11.86006681 50.8700145)",276.0,DE,PVA,Sankt Gangloff,219.0,2014.0,50.8700145,11.86006681,07629
"POINT (9.778981399 54.63322608)",277.0,DE,PVA,Saustrup,778.0,2023.0,54.63322608,9.778981399,24392
"POINT (9.778981399 54.63322608)",277.0,DE,PVA,Saustrup,778.0,2023.0,54.63322608,9.778981399,24392
"POINT (13.88692382 51.50819455)",278.0,DE,PVA,Schipkau,219.0,2013.0,51.50819455,13.88692382,01993
"POINT (11.8076086 51.01355733)",279.0,DE,PVA,Schkölen,3745.0,2022.0,51.01355733,11.8076086,07619
"POINT (10.74637822 50.54396244)",280.0,DE,PVA,Schleusingen,52.0,2017.0,50.54396244,10.74637822,98553
"POINT (10.05345605 54.17003358)",281.0,DE,PVA,Schönbek,92.0,2018.0,54.17003358,10.05345605,24582
"POINT (10.05345605 54.17003358)",281.0,DE,PVA,Schönbek,92.0,2018.0,54.17003358,10.05345605,24582
"POINT (10.03393293 54.16954551)",282.0,DE,PVA,Schönbek 2,923.0,2021.0,54.16954551,10.03393293,24582
"POINT (10.03393293 54.16954551)",282.0,DE,PVA,Schönbek 2,923.0,2021.0,54.16954551,10.03393293,24582
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
"POINT (10.82924695 48.16933108)",283.0,DE,PVA,Schwabstadl,998.0,2014.0,48.16933108,10.82924695,86836
